"","group","total"
"1582","paper","80"
"1583","paper","118"
"1584","paper","119"
"1585","paper","97"
"1586","paper","122"
"1587","paper","98"
"1588","paper","112"
"1589","paper","126"
"1590","paper","122"
"1591","paper","110"
"1592","paper","89"
"1593","paper","113"
"1594","paper","117"
"1595","paper","106"
"1596","paper","107"
"1597","paper","110"
"1598","paper","74"
"1599","paper","115"
"1600","paper","123"
"1601","paper","117"
"1602","paper","104"
"1603","paper","120"
"1604","paper","99"
"1605","paper","94"
"1606","paper","85"
"1607","paper","99"
"1608","paper","69"
"1609","paper","89"
"1610","paper","93"
"1611","paper","106"
"1612","paper","99"
"1613","paper","105"
"1614","paper","90"
"1615","paper","97"
"1616","paper","117"
"1617","paper","110"
"1618","paper","102"
"1619","paper","95"
"1620","paper","105"
"1621","paper","96"
"1622","paper","83"
"1623","paper","96"
"1624","paper","125"
"1625","paper","113"
"1626","paper","107"
"1627","paper","117"
"1628","paper","114"
"1629","paper","105"
"1630","paper","129"
"1631","paper","121"
"1632","paper","114"
"1633","paper","122"
"1634","paper","102"
"1635","paper","94"
"1636","paper","116"
"1637","paper","96"
"1638","paper","110"
"1639","paper","113"
"1640","paper","107"
"1641","paper","111"
"1642","paper","114"
"1643","paper","127"
"1644","paper","119"
"1645","paper","120"
"1646","paper","107"
"1647","paper","109"
"1648","paper","106"
"1649","paper","71"
"1650","paper","126"
"1651","paper","128"
"1652","paper","101"
"1653","paper","111"
"1654","paper","72"
"1655","paper","120"
"1656","paper","112"
"1657","paper","112"
"1658","paper","123"
"1659","paper","88"
"1660","paper","105"
"1661","paper","125"
"1662","paper","117"
"1663","paper","99"
"1664","paper","118"
"1665","paper","97"
"1666","paper","86"
"1667","paper","113"
"1668","paper","125"
"1669","paper","101"
"1670","paper","129"
"1671","paper","118"
"1672","paper","102"
"1673","paper","79"
"1674","paper","111"
"1675","paper","91"
"1676","paper","118"
"1677","paper","131"
"1678","paper","113"
"1679","paper","113"
"1680","paper","110"
"1681","paper","102"
"1682","paper","115"
"1683","paper","79"
"1684","paper","121"
"1685","paper","118"
"1686","paper","83"
"1687","paper","104"
"1688","paper","113"
"1689","paper","103"
"1690","paper","112"
"1691","paper","87"
"1692","paper","132"
"1693","paper","98"
"1694","paper","100"
"1695","paper","128"
"1696","paper","115"
"1697","paper","132"
"1698","paper","117"
"1699","paper","119"
"1700","paper","122"
"1701","paper","98"
"1702","paper","112"
"1703","paper","114"
"1704","paper","91"
"1705","paper","80"
"1706","paper","115"
"1707","paper","110"
"1708","paper","102"
"1709","paper","108"
"1710","paper","95"
"1711","paper","107"
"1712","paper","104"
"1713","paper","112"
"1714","paper","81"
"1715","paper","112"
"1716","paper","111"
"1717","paper","107"
"1718","paper","118"
"1719","paper","115"
"1720","paper","97"
"1721","paper","115"
"1722","paper","104"
"1723","paper","116"
"1724","paper","123"
"1725","paper","104"
"1726","paper","94"
"1727","paper","100"
"1728","paper","117"
"1729","paper","99"
"1730","paper","104"
"1731","paper","123"
"1732","paper","84"
"1733","paper","113"
"1734","paper","110"
"1735","paper","133"
"1736","paper","96"
"1737","paper","123"
"1738","paper","108"
"1739","paper","102"
"1740","paper","81"
"1741","paper","110"
"1742","paper","89"
"1743","paper","132"
"1744","paper","124"
"1745","paper","109"
"1746","paper","103"
"1747","paper","116"
"1748","paper","115"
"1749","paper","104"
"1750","paper","125"
"1751","paper","103"
"1752","paper","98"
"1753","paper","114"
"1754","paper","127"
"1755","paper","123"
"1756","paper","87"
"1757","paper","108"
"1758","paper","94"
"1759","paper","92"
"1760","paper","91"
"1761","paper","106"
"1762","paper","115"
"1763","paper","120"
"1764","paper","92"
"1765","paper","76"
"1766","paper","121"
"1767","paper","126"
"1768","paper","114"
"1769","paper","124"
"1770","paper","117"
"1771","paper","113"
"1772","paper","125"
"1773","paper","99"
"1774","paper","95"
"1775","paper","118"
"1776","paper","86"
"1777","paper","120"
"1778","paper","112"
"1779","paper","86"
"1780","paper","126"
"1781","paper","101"
"1782","paper","88"
"1783","paper","121"
"1784","paper","96"
"1785","paper","110"
"1786","paper","97"
"1787","paper","103"
"1788","paper","120"
"1789","paper","90"
"1790","paper","89"
"1791","paper","112"
"1792","paper","113"
"1793","paper","100"
"1794","paper","117"
"1795","paper","115"
"1796","paper","102"
"1797","paper","110"
"1798","paper","101"
"1799","paper","117"
"1800","paper","97"
"1801","paper","135"
"1802","paper","111"
"1803","paper","98"
"1804","paper","103"
"1805","paper","108"
"1806","paper","120"
"1807","paper","114"
"1808","paper","76"
"1809","paper","90"
"1810","paper","99"
"1811","paper","108"
"1812","paper","106"
"1813","paper","83"
"1814","paper","115"
"1815","paper","107"
"1816","paper","116"
"1817","paper","89"
"1818","paper","124"
"1819","paper","94"
"1820","paper","97"
"1821","paper","111"
"1822","paper","113"
"1823","paper","113"
"1824","paper","81"
"1825","paper","87"
"1826","paper","90"
"1827","paper","127"
"1828","paper","131"
"1829","paper","91"
"1830","paper","90"
"1831","paper","107"
"1832","paper","116"
"1833","paper","116"
"1834","paper","109"
"1835","paper","125"
"1836","paper","121"
"1837","paper","95"
"1838","paper","118"
"1839","paper","125"
"1840","paper","90"
"1841","paper","109"
"1842","paper","113"
"1843","paper","127"
"1844","paper","103"
"1845","paper","117"
"1846","paper","113"
"1847","paper","110"
"1848","paper","104"
"1849","paper","103"
"1850","paper","95"
"1851","paper","104"
"1852","paper","92"
"1853","paper","133"
"1854","paper","122"
"1855","paper","84"
"1856","paper","127"
"1857","paper","87"
"1858","paper","88"
"1859","paper","84"
"1860","paper","107"
"1861","paper","122"
"1862","paper","113"
"1863","paper","127"
"1864","paper","92"
"1865","paper","108"
"1866","paper","134"
"1867","paper","116"
"1868","paper","124"
"1869","paper","104"
"1870","paper","67"
"1871","paper","123"
"1872","paper","129"
"1873","paper","117"
"1874","paper","114"
"1875","paper","80"
"1876","paper","89"
"1877","paper","101"
"1878","paper","131"
"1879","paper","101"
"1880","paper","117"
"1881","paper","103"
"1882","paper","126"
"1883","paper","91"
"1884","paper","110"
"1885","paper","135"
"1886","paper","102"
"1887","paper","127"
"1888","paper","124"
"1889","paper","117"
"1890","paper","120"
"1891","paper","120"
"1892","paper","126"
"1893","paper","101"
"1894","paper","115"
"1895","paper","134"
"1896","paper","106"
"1897","paper","118"
"1898","paper","78"
"1899","paper","117"
"1900","paper","128"
"1901","paper","119"
"1902","paper","70"
"1903","paper","97"
"1904","paper","90"
"1905","paper","104"
"1906","paper","128"
"1907","paper","105"
"1908","paper","126"
"1909","paper","98"
"1910","paper","116"
"1911","paper","95"
"1912","paper","112"
"1913","paper","109"
"1914","paper","118"
"1915","paper","125"
"1916","paper","129"
"1917","paper","96"
"1918","paper","81"
"1919","paper","76"
"1920","paper","108"
"1921","paper","124"
"1922","paper","101"
"1923","paper","113"
"1924","paper","131"
"1925","paper","112"
"1926","paper","132"
"1927","paper","130"
"1928","paper","124"
"1929","paper","87"
"1930","paper","100"
"1931","paper","123"
"1932","paper","107"
"1933","paper","110"
"1934","paper","117"
"1935","paper","104"
"1936","paper","131"
"1937","paper","97"
"1938","paper","118"
"1939","paper","103"
"1940","paper","108"
"1941","paper","95"
"1942","paper","122"
"1943","paper","108"
"1944","paper","115"
"1945","paper","119"
"1946","paper","96"
"1947","paper","106"
"1948","paper","128"
"1949","paper","106"
"1950","paper","97"
"1951","paper","137"
"1952","paper","113"
"1953","paper","113"
"1954","paper","138"
"1955","paper","103"
"1956","paper","83"
"1957","paper","121"
"1958","paper","88"
"1959","paper","83"
"1960","paper","111"
"1961","paper","118"
"1962","paper","105"
"1963","paper","91"
"1964","paper","117"
"1965","paper","127"
"1966","paper","131"
"1967","paper","98"
"1968","paper","109"
"1969","paper","109"
"1970","paper","124"
"1971","paper","119"
"1972","paper","104"
"1973","paper","93"
"1974","paper","121"
"1975","paper","116"
"1976","paper","125"
"1977","paper","108"
"1978","paper","104"
"1979","paper","112"
"1980","paper","115"
"1981","paper","101"
"1982","paper","111"
"1983","paper","133"
"1984","paper","101"
"1985","paper","125"
"1986","paper","113"
"1987","paper","75"
"1988","paper","118"
"1989","paper","102"
"1990","paper","105"
"1991","paper","125"
"1992","paper","84"
"1993","paper","104"
"1994","paper","111"
"1995","paper","80"
"1996","paper","111"
"1997","paper","83"
"1998","paper","95"
"1999","paper","112"
"2000","paper","122"
"2001","paper","120"
"2002","paper","130"
"2003","paper","81"
"2004","paper","72"
"2005","paper","115"
"2006","paper","105"
"2007","paper","103"
"2008","paper","102"
"2009","paper","130"
"2010","paper","69"
"2011","paper","116"
"2012","paper","83"
"2013","paper","124"
"2014","paper","107"
"2015","paper","84"
"2016","paper","138"
"2017","paper","112"
"2018","paper","64"
"2019","paper","63"
"2020","paper","124"
"2021","paper","87"
"2022","paper","110"
"2023","paper","94"
"2024","paper","82"
"2025","paper","112"
"2026","paper","135"
"2027","paper","124"
"2028","paper","105"
"2029","paper","112"
"2030","paper","111"
"2031","paper","123"
"2032","paper","99"
"2033","paper","87"
"2034","paper","48"
"2035","paper","93"
"2036","paper","105"
"2037","paper","104"
"2038","paper","91"
"2039","paper","97"
"2040","paper","131"
"2041","paper","115"
"2042","paper","117"
"2043","paper","96"
"2044","paper","99"
"2045","paper","105"
"2046","paper","99"
"2047","paper","112"
"2048","paper","94"
"2049","paper","120"
"2050","paper","97"
"2051","paper","131"
"2052","paper","115"
"2053","paper","123"
"2054","paper","123"
"2055","paper","140"
"2056","paper","70"
"2057","paper","118"
"2058","paper","128"
"2059","paper","125"
"2060","paper","62"
"2061","paper","114"
"2062","paper","119"
"2063","paper","128"
"2064","paper","130"
"2065","paper","122"
"2066","paper","81"
"2067","paper","102"
"2068","paper","106"
"2069","paper","94"
"2070","paper","104"
"2071","paper","90"
"2072","paper","87"
"2073","paper","108"
"2074","paper","106"
"2075","paper","127"
"2076","paper","90"
"2077","paper","92"
"2078","paper","119"
"2079","paper","107"
"2080","paper","117"
"2081","paper","136"
