pil1_1,pil2_1,pil3_1,pil4_1,pil5_1,pil6_1,pil7_1,pil8_1,pil9_1,pil10_1,pil11_1,pil12_1,pil13_1,pil14_1,pil15_1,pil16_1,pil17_1,pil18_1,pil19_1,pil20_1,song1_1,song2_1,song3_1,song4_1,song5_1,song6_1,song7_1,song8_1,song9_1,song10_1,song11_1,song12_1,song13_1,song14_1,song15_1,song16_1,song17_1,song18_1,song19_1,song20_1,mist1_1,mist2_1,mist3_1,mist4_1,mist5_1,mist6_1,mist7_1,mist8_1,mist9_1,mist10_1,mist11_1,mist12_1,mist13_1,mist14_1,mist15_1,mist16_1,mist17_1,mist18_1,mist19_1,mist20_1,pq1_1,pq2_1,pq3_1,pq4_1,pq5_1,pq6_1,pq7_1,pq8_1,piltotal,songtot,songa,songb,misttot,mista,mistb,mistc,pqtotal,lpq1_1,lpq2_1,lpq3_1,lpq4_1,lpq5_1,lpq6_1,lpq7_1,lpq8_1,lpq9_1,lpq10_1,lpq11_1,lpq12_1,lpq13_1,lpq14_1,lpq15_1,lpq16_1,lpq17_1,lpq18_1,lpq19_1,lpq20_1,lpqtotal,oq1_1,op2_1,oq3_1,oq4_1,oq5_1,oq6_1,oq7_1,oq8_1,oq9_1,oq10_1,oq11_1,oq12_1,oq13_1,oq14_1,oq15_1,oq16_1,oq17_1,oq18_1,oq19_1,oq20_1,oq21_1,oq22_1,oq23_1,oq24_1,oq25_1,oq26_1,oq27_1,oq28_1,oq29_1,oq30_1,oq31_1,oq32_1,oq33_1,oq34_1,oq35_1,oq36_1,oq37_1,oq38_1,oq39_1,oq40_1,oq41_1,oq42_1,oq43_1,oq44_1,oq45_1,oqtotal,oqsd,oqir,oqsr,sex,years,ethnicit,religiou,grades,pilstarr,pil5,pil15,factor1,factor2,factor3,pilf1mf,pilf2mf,pilf3mf,userid
5,5,7,7,5,6,7,6,5,6,6,6,5,3,1,7,7,7,6,7,5,5,2,6,2,7,7,1,2,3,1,1,1,2,4,1,1,5,1,5,7,7,2,7,7,7,7,7,7,6,2,3,6,7,7,6,2,7,7,1,3,3,3,3,-3,3,0,3,114,62,25,37,112,32,43,37,15,1,1,1,1,1,1,1,1,1,0,1,1,1,.897058823529412,0,1,1,1,1,1,17.8970588235294,0,3,0,4,3,2,1,0,0,0,0,2,1,1,0,4,0,0,2,0,0,1,0,0,3,0,0,4,2,0,1,0,1,0,0,1,2,2,1,0,0,0,1,0,3,45,21,10,14,2,18,2,1,3,103,32,82,32,21,38,43,20,30,logo23
6,6,6,7,6,6,7,6,7,7,7,6,7,6,7,7,6,5,6,6,6,6,2,2,2,5,7,4,1,7,1,1,2,3,7,6,2,5,2,7,7,7,7,7,4.92058823529412,6.19411764705882,7,7,7,7,7,5,7,7,7,7,7,7,7,1,2,-1,2,2,0,0,0,1,127,78,28,50,129.114705882353,37.9205882352941,50,41.1941176470588,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,1,1,0,2,1,1,1,0,1,1,0,1,0,3,0,4,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,3,0,0,0,0,0,0,1,29,12,7,10,2,18,1,1,3.4,107,33,94,37,18,40,43,18,32,logo24
4,3,7,6,3,6,6,6,6,6,6,6,6,7,7,7,7,7,6,7,6,4,3,5,3,7,7,5,7,6,5,2,1,2,6,6,2,6,1,7,7,5,6,7,5,7,2,6,6,5,6,7,5,3,6,4,5,7,7,7,-3,3,-3,-3,-3,-3,-3,-3,119,91,40,51,113,36,49,28,-18,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,0,4,0,2,1,2,0,2,0,1,0,2,0,1,0,1,1,2,3,1,0,3,0,0,2,1,4,2,0,0,0,0,2,3,1,2,1,2,2,2,3,0,1,0,1,55,33,11,11,2,18,1,1,2.4,99,32,87,28,21,36,38,20,28,logo25
6,5,7,7,5,7,7,5,5,7,7,6,7,4,5,6,6,6,6,6,4,2,2,1,2,6,7,1,1,6,1,1,1,2,6,2,1,5,2,6,7,4,4,6,6,7,7,7,6,3,7,7,6,6,3,2,4,7,7,4,2,-1,-3,-2,-1,0,-2,-3,120,59,17,42,110,36,40,34,-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,0,2,0,2,2,2,0,1,1,1,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1,0,0,1,0,2,1,0,0,0,0,1,1,26,14,1,11,2,18,1,1,3.5,104,31,89,32,19,41,42,18,33,logo26
4,4,6,6,5,4,7,5,6,7,7,7,5,4,6,6,6,2,4,6,6,4,4,3,4,4,5,2,2,4,2,3,2,3,2,3,3,6,3,4,6,4,6,5,5,7,6,7,6,4,7,3,5,6,6,7,5,7,6,4,0,0,2,2,-2,0,2,2,107,69,35,34,112,35,43,34,6,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,18,1,1,1,2,3,2,1,0,1,2,0,1,1,1,1,3,0,2,1,1,1,2,1,1,1,0,2,3,1,1,0,0,1,2,0,1,0,2,0,1,1,1,0,0,2,49,29,10,10,2,19,1,1,4,90,31,76,28,18,38,35,17,28,logo27
5,5,6,7,5,6,7,6,6,7,5,5,5,4,3,7,5,4,5,6,3,5,4,5,4,5,6,3,3,5,4,4,5,4,3,5,3,5,4,5,6,5,5,4,5,7,4,6,6,4,5,4,6,5,5,4,5,5,5,3,2,0,2,2,0,0,1,1,109,85,48,37,99,28,39,32,8,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,16,0,1,1,2,3,1.82388059701493,1,0,1,1,0,2,1,1,1,3,0,2,2,1,0,3,1,1,2,2,2,2,1,1,1,1,2,2,1,2,3,1,1,1,1,1,1,1,1,59.8238805970149,32.8238805970149,16,11,2,19,1,1,3.25,95,29,80,32,17,37,38,18,28,logo28
7,6,7,7,6,4,7,4,4,5,4,3,6,7,6,3,7,5,4,4,4,5,3,7,4,3,7,7,3,7,7,4,4,7,3,4,5,5,4,4,5,4,5,6,4,7,6,5,6,6,6,6,2,5,7,2,1,7,7,4,1,-1,2,-1,-2,-2,0,-1,106,97,60,37,101,32,40,29,-4,1,0,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,13,1,1,1,4,0,1.82388059701493,0,0,2,2,1,1.64411764705882,.931547619047619,1.7,2,3,0,1,1,2,2,2,2,1,4,0,1,4,1,1,2,0,0,0,0,1,3,4,1,1,2,4,0,1,1,65.0995458631214,33.7554282160625,12,19.3441176470588,1,18,2,1, ,86,26,80,31,18,30,40,15,25,logo29
3,1,5,3,3,3,6,2,3,2,3,5,5,7,1,6,4,2,2,5,4,7,3,7,4,6,7,6,7,5,4,3,6,3,6,6,6,2,5,4,5,3,4,7,2,7,2,2,5,3,6,1,3,5,7,2,2,7,5,3,-3,-3,-3,-3,-3,-3,-3,-1,71,101,61,40,81,23,34,24,-22,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,8,0,2,0,4,2,3,0,0,0,0,0,2,1,0,2,0,0,3,0,4,0,4,2,1,0,0,0,4,0,0,3,1,3,0,0,1,4,4,4,4,3,2,1,1,0,65,33,12,20,1,20,6,1,1.68,57,18,53,14,14,22,20,12,17,logo30
6,5,6,7,7,6,7,7,7,6,7,4,7,6,4,6,7,7,7,7,6,6,4,7,4,7,7,7,1,3,4,3,2,4,6,3,3,7,1,7,6,7,7,7,3,7,7,7,7,7,7,1,6,7,6,7,7,7,7,1,2,0,3,0,-3,2,-2,3,126,92,46,46,121,32,47,42,5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,18,0,2,0,2,2,1,0,0,0,3,0,2,0,1,0,1,0,0,1,0,2,2,0,0,2,0,1,3,1,0,0,0,0,2,1,1,0,2,1,2,1,1,0,0,2,39,24,2,13,2,18,2,1, ,109,35,91,39,20,37,46,20,30,logo31
7,7,6,7,7,7,7,5,7,7,6,4,6,5,6,7,7,6,7,7,4,4,2,1,2,3,4,4,1,5,2,4,2,3,3,5,1,5,2,5,5,5,1,5,3,5,7,5,6,7,5,6,2,3,6,2,2,6,6,3,2,2,3,3,-3,-3,3,3,128,62,28,34,90,28,34,28,10,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,17,0,0,0,2,2,2,0,1,1,1.18975903614458,0,1,0,1,0,2,0,0,0,0,0,2,2,1,2,0,0,2,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,30.1897590361446,20.1897590361446,3,7,2,20,1,1, ,110,34,94,40,20,38,48,18,31,logo32
